"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Pesquisa de artigos no Blog do Agi","0","0","Pesquisa sem resultados encontrados","0"
"1","","0","Pesquisa de artigos no Blog do Agi","0","0","Pesquisa com caracteres especiais","0"
"1","","0","Pesquisa de artigos no Blog do Agi","0","0","Acionar pesquisa sem preencher termo (Busca Vazia)","0"
"1","","0","Pesquisa de artigos no Blog do Agi","0","0","Pesquisa com resultados exatos","0"
